country,rate,31 dec 23*,currency
Canada,na,0.9048,Canadian dollar
China,4.7044,4.8544,Chinese renminbi
Europe,0.6144,0.6181,European euro
Hong Kong,5.2013,5.3448,Hong Kong dollar
India,54.8696,56.8800,Indian rupee
Indonesia,10122.2960,10572.0000,Indonesian rupiah
Japan,93.3232,96.7700,Japanese yen
Malaysia,3.0297,3.1416,Malaysian ringgit
Taiwan,20.6955,21.0000,New Taiwan dollar
New Zealand,1.0821,1.0768,New Zealand dollar
Philippines,36.9584,37.9300,Philippine peso
Singapore,0.8922,0.9014,Singapore dollar
South Korean,867.5052,881.0600,South Korean won
Switzerland,0.5976,na,Swiss franc
Thailand,23.1159,23.3500,Thai baht
United Kingdom,0.5345,0.5366,UK pound sterling
United States,0.6644,0.6840,United States dollar
Vietnam,15831.9320,16604.0000,Vietnamese dong
