policy_id,age
P45001,39
P45002,39
P45003,37
P45004,35
P45005,40
P45006,36
P45007,37
P45008,34
P45009,37
P45010,36
P45011,40
P45012,40
P45013,38
P45014,40
P45015,39
P45016,41
P45017,41
P45018,33
P45019,40
P45020,41
P45021,41
P45022,40
P45023,35
P45024,37
P45025,38
P45026,33
P45027,35
P45028,37
P45029,38
P45030,35
P45031,40
P45032,36
P45033,35
P45034,38
P45035,39
P45036,39
P45037,40
P45038,36
P45039,36
P45040,41
P45041,39
P45042,40
P45043,37
P45044,37
P45045,38
P45046,37
P45047,34
P45048,41
P45049,35
P45050,36
P45051,40
P45052,38
P45053,35
P45054,42
P45055,36
P45056,34
P45057,37
P45058,36
P45059,34
P45060,41
P45061,40
P45062,33
P45063,35
P45064,32
P45065,35
P45066,39
P45067,34
P45068,36
P45069,38
P45070,40
P45071,39
P45072,40
P45073,40
P45074,34
P45075,39
P45076,40
P45077,37
P45078,34
P45079,39
P45080,42
P45081,42
P45082,41
P45083,39
P45084,35
P45085,37
P45086,38
P45087,37
P45088,40
P45089,36
P45090,38
P45091,39
P45092,39
P45093,39
P45094,40
P45095,34
P45096,40
P45097,36
P45098,37
P45099,39
P45100,37
P45101,36
P45102,37
P45103,38
P45104,37
P45105,36
P45106,35
P45107,36
P45108,37
P45109,34
P45110,36
P45111,41
P45112,39
P45113,37
P45114,41
P45115,33
P45116,37
P45117,35
P45118,36
P45119,36
P45120,40
P45121,35
P45122,42
P45123,35
P45124,37
P45125,37
P45126,33
P45127,39
P45128,35
P45129,36
P45130,40
P45131,38
P45132,34
P45133,41
P45134,38
P45135,40
P45136,35
P45137,35
P45138,35
P45139,36
P45140,33
P45141,38
P45142,39
P45143,40
P45144,39
P45145,36
P45146,40
P45147,35
P45148,34
P45149,39
P45150,39
P45151,39
P45152,36
P45153,39
P45154,36
P45155,33
P45156,40
P45157,41
P45158,39
P45159,34
P45160,39
P45161,36
P45162,35
P45163,35
P45164,36
P45165,34
P45166,41
P45167,37
P45168,36
P45169,37
P45170,34
P45171,34
P45172,37
P45173,40
P45174,35
P45175,36
P45176,38
P45177,36
P45178,37
P45179,33
P45180,36
P45181,36
P45182,37
P45183,39
P45184,36
P45185,40
P45186,34
P45187,33
P45188,38
P45189,42
P45190,36
P45191,38
P45192,37
P45193,38
P45194,36
P45195,35
P45196,35
P45197,41
P45198,34
P45199,38
P45200,37
P45201,40
P45202,38
P45203,35
P45204,38
P45205,35
P45206,33
P45207,36
P45208,40
P45209,41
P45210,38
P45211,36
P45212,39
P45213,38
P45214,34
P45215,36
P45216,36
P45217,36
P45218,38
P45219,41
P45220,35
P45221,36
P45222,34
P45223,36
P45224,35
P45225,36
P45226,38
P45227,38
P45228,35
P45229,35
P45230,39
P45231,34
P45232,42
P45233,36
P45234,39
P45235,35
P45236,39
P45237,36
P45238,38
P45239,38
P45240,37
P45241,35
P45242,36
P45243,34
P45244,39
P45245,36
P45246,35
